
Network Stats for the last 575 seconds:

Total Sent Spatial Packets: 0
Total Requested to Send Spatial Packets: 0
Total Sent Actor Motion Hints Packets: 0
Percentage of Usual Bandwidth Used: -nan(ind)%


Total Sent: 16813, 0B (9.15MB)
334 ClientboundDataDrivenUICloseScreenPacket 3B, Num 1, Avg 3B
59  SetCommandsEnabledPacket                 2B, Num 1, Avg 2B
60  SetDifficultyPacket                      2B, Num 1, Avg 2B
42  SetHealthPacket                          2B, Num 1, Avg 2B
70  ChunkRadiusUpdatedPacket                 2B, Num 1, Avg 2B

Total Received: 14887, 0B (1.72MB)
144 PlayerAuthInputPacket                    1.00MB, Num 11015, Avg 95B
175 SubChunkRequestPacket                    0.56MB, Num 2303, Avg 253B
135 ClientCacheBlobStatusPacket              92.13KB, Num 872, Avg 108B
1   LoginPacket                              52.99KB, Num 1, Avg 52.99KB
30  InventoryTransactionPacket               18.90KB, Num 177, Avg 109B
44  AnimatePacket                            4.18KB, Num 327, Avg 13B
36  PlayerActionPacket                       0.58KB, Num 47, Avg 12B
31  MobEquipmentPacket                       0.51KB, Num 27, Avg 19B
77  CommandRequestPacket                     453B, Num 9, Avg 50B
321 ClientCameraAimAssistPacket              210B, Num 42, Avg 5B
33  InteractPacket                           188B, Num 35, Avg 5B
147 ItemStackRequestPacket                   72B, Num 4, Avg 18B
322 ClientMovementPredictionSyncPacket       58B, Num 1, Avg 58B
47  ContainerClosePacket                     32B, Num 8, Avg 4B
98  NpcRequestPacket                         24B, Num 4, Avg 6B
101 ModalFormResponsePacket                  15B, Num 3, Avg 5B
307 SetPlayerInventoryOptionsPacket          14B, Num 2, Avg 7B
8   ResourcePackClientResponsePacket         8B, Num 2, Avg 4B
34  BlockPickRequestPacket                   8B, Num 1, Avg 8B
312 ServerboundLoadingScreenPacket           8B, Num 2, Avg 4B
193 RequestNetworkSettingsPacket             6B, Num 1, Avg 6B
129 ClientCacheStatusPacket                  3B, Num 1, Avg 3B
69  RequestChunkRadiusPacket                 3B, Num 1, Avg 3B
113 SetLocalPlayerAsInitializedPacket        2B, Num 1, Avg 2B
4   ClientToServerHandshakePacket            1B, Num 1, Avg 1B

